Arquivo,Data,Hora,Vel_Regulamentada (Km/h),Vel_Medida (Km/h),Vel_Considerada (Km/h),Erro
214733\420707_11.jpg,18/08/2025,10H5,20,40,,
214734\420709_11.jpg,18/08/2025,10H56MIN01S,20,40,,
214735\420711_11.jpg,18/08/2025,10H56MIN04S,20,40,,
214736\420713_11.jpg,18/08/2025,10H56MIN06S,20,40,,
214737\420715_11.jpg,18/08/2025,10H56MIN09S,20,40,,
214738\420717_11.jpg,18/08/2025,10H56MIN12S,20,40,,
214739\420719_11.jpg,18/08/2025,10H56MINI,20,40,,
214740\420721_11.jpg,18/08/2025,10H56MIN17S,20,40,,
214741\420723_11.jpg,18/08/2025,10H56MIN20S,20,40,,
214742\420725_11.jpg,18/08/2025,10H56MIN23,20,40,,
214743\420727_11.jpg,18/08/2025,10H56MIN2,20,40,,
214744\420729_11.jpg,18/08/2025,10H56MIN28S,20,40,,
214745\420731_11.jpg,18/08/2025,10H56MIN31S,20,40,,
214746\420733_11.jpg,18/08/2025,1,20,40,,
214747\420735_11.jpg,18/08/2025,10H56MIN36S,20,40,,
214748\420737_11.jpg,18/08/2025,10H56MIN39S,20,40,,
214749\420739_11.jpg,18/08/2025,10H5,20,40,,
214750\420741_11.jpg,18/08/2025,10H56MIN45S,20,40,,
214751\420743_11.jpg,18/08/2025,10H56MIN47S,20,40,,
214752\420745_11.jpg,18/08/2025,10H56MINS0S,20,40,,
214753\420747_11.jpg,18/08/2025,10H56MIN,20,40,,
214754\420749_11.jpg,18/08/2025,10H56MIN,20,40,,
214755\420751_11.jpg,18/08/2025,10H56MIN,20,40,,
214756\420753_11.jpg,18/08/2025,10H57MIN01S,20,40,,
214757\420755_11.jpg,18/08/2025,10H57,20,40,,
214758\420757_11.jpg,18/08/2025,10H57,20,40,,
214759\420759_11.jpg,18/08/2025,10H57,20,40,,
214760\420761_11.jpg,18/08/2025,10H57,20,40,,
214761\420763_11.jpg,18/08/2025,10H57MINI,20,40,,
214762\420765_11.jpg,18/08/2025,10H57MIN17S,20,40,,
214763\420767_11.jpg,18/08/2025,10H57,20,40,,
214764\420769_11.jpg,18/08/2025,10H57MIN23S,20,40,,
214765\420771_11.jpg,18/08/2025,10H57MIN26S,20,40,,
214766\420773_11.jpg,18/08/2025,10H57,20,40,,
214767\420775_11.jpg,18/08/2025,10H57MIN31S,20,40,,
214768\420777_11.jpg,18/08/2025,10H57,20,40,,
214769\420779_11.jpg,18/08/2025,10H57MIN37S,20,40,,
214770\420781_11.jpg,18/08/2025,10H57MIN39S,20,40,,
214771\420783_11.jpg,18/08/2025,10H57,20,40,,
214772\420785_11.jpg,18/08/2025,10H57,20,40,,
214773\420787_11.jpg,18/08/2025,10H57,20,40,,
214774\420789_11.jpg,18/08/2025,10H57MIN50S,20,40,,
214775\420791_11.jpg,18/08/2025,10H57MIN,20,40,,
214776\420793_11.jpg,18/08/2025,10H57,20,40,,
214777\420795_11.jpg,18/08/2025,10H57,20,40,,
214778\420797_11.jpg,18/08/2025,10H58MIN01S,20,40,,
214779\420799_11.jpg,18/08/2025,10H58MIN04S,20,40,,
214780\420801_11.jpg,18/08/2025,10H58MIN07S,20,40,,
214781\420803_11.jpg,18/08/2025,M,20,40,,
214782\420805_11.jpg,18/08/2025,10H58MIN12S,20,40,,
214783\420807_11.jpg,18/08/2025,10H58MINI,20,40,,
214784\420809_11.jpg,18/08/2025,10H58MIN17S,20,40,,
214785\420811_11.jpg,18/08/2025,10H58MIN20S,20,4,,Resultado parcial
214786\420813_11.jpg,18/08/2025,1,20,40,,
214787\420815_11.jpg,18/08/2025,10H58MIN26S,20,40,,
214788\420817_11.jpg,18/08/2025,10H58MIN28S,20,40,,
214789\420819_11.jpg,18/08/2025,10H58MIN31S,20,40,,
214790\420821_11.jpg,18/08/2025,10H598MIN34S,20,40,,
214791\420823_11.jpg,18/08/2025,10H58MIN37S,20,40,,
214792\420825_11.jpg,18/08/2025,10H58MIN39S,20,40,,
214793\420827_11.jpg,18/08/2025,10H58MIN42S,20,40,,
214794\420829_11.jpg,18/08/2025,10H58MIN45S,20,40,,
214795\420831_11.jpg,18/08/2025,10H58MIN48S,20,40,,
214796\420833_11.jpg,18/08/2025,10H58MIN50S,20,40,,
214797\420835_11.jpg,18/08/2025,10H58MIN,20,40,,
214798\420837_11.jpg,18/08/2025,1,20,40,,
214799\420839_11.jpg,18/08/2025,10H58MIN,20,40,,
214800\420841_11.jpg,18/08/2025,10H59MIN01S,20,40,,
214801\420843_11.jpg,18/08/2025,10H59MIN04S,20,40,,
214802\420845_11.jpg,18/08/2025,10H59MIN07S,20,40,,
214803\420847_11.jpg,18/08/2025,10H59MIN09S,20,40,,
214804\420849_11.jpg,18/08/2025,10H59MIN12S,20,40,,
214805\420851_11.jpg,18/08/2025,10H59MINI,20,40,,
214806\420853_11.jpg,18/08/2025,10H59MIN18S,20,40,,
214807\420855_11.jpg,18/08/2025,10H59MIN20S,20,40,,
214808\420857_11.jpg,18/08/2025,1,20,40,,
214809\420859_11.jpg,18/08/2025,10H59MIN26S,20,40,,
214810\420861_11.jpg,18/08/2025,10H59MIN29S,20,40,,
214811\420863_11.jpg,18/08/2025,10H59MIN31S,20,40,,
214812\420865_11.jpg,18/08/2025,10H59MIN34S,20,40,,
214813\420867_11.jpg,18/08/2025,10H59MIN37S,20,40,,
214814\420869_11.jpg,18/08/2025,10H59MIN39S,20,40,,
214815\420871_11.jpg,18/08/2025,10H59MIN42S,20,40,,
214816\420873_11.jpg,18/08/2025,10H59MIN4,20,40,,
214817\420875_11.jpg,18/08/2025,10H59MIN48S,20,40,,
214818\420877_11.jpg,18/08/2025,10H59MIN50S,20,40,,
214819\420879_11.jpg,18/08/2025,10H59MIN,20,40,,
214820\420881_11.jpg,18/08/2025,S,20,40,,
214821\420883_11.jpg,18/08/2025,10H59MIN,20,40,,
214822\420885_11.jpg,18/08/2025,11H00MIN01S,20,40,,
214823\420887_11.jpg,18/08/2025,11H00MIN04S,20,40,,
214824\420889_11.jpg,18/08/2025,11H00MIN07S,20,40,,
